time_stamp,tag19_X,tag19_Y,tag20_X,tag20_Y,tag19_score,tag20_score,chosen_X,chosen_Y,periodID,dayID
1653308809,-1020,4514,-24,3608,89.43646592,90.6009508,-518.7789281,4058.069989,1,1
1653308810,66,5563,244,4317,81.46247116,89.49100513,159.1797309,4910.741884,1,1
1653308811,-537,5488,718,4541,86.76051989,93.13710947,112.7421494,4997.716482,1,1
1653308812,47,5911,1545,5042,91.73187019,90.81515713,792.2386784,5478.681968,1,1
1653308813,-29,6266,1933,4930,94.49975821,85.03171451,900.264498,5633.22866,1,1
1653308814,-29,6266,1933,4930,89.96524928,84.98330499,924.0644313,5617.022385,1,1
1653308815,-29,6266,1933,4930,91.17236249,81.83651917,899.0636292,5634.046377,1,1
1653308816,-29,6266,1933,4930,93.13857313,86.61513336,916.3985399,5622.242381,1,1
1653308817,-29,6266,1933,4930,89.44592832,84.23344755,922.5581414,5618.048075,1,1
1653308818,-29,6266,1933,4930,90.70074599,82.77383083,907.1732368,5628.524238,1,1
1653308819,-29,6266,1621,4759,90.14620681,88.94790385,790.4799975,5517.541602,1,1
1653308820,-29,6266,1898,4913,91.46044764,86.19536346,905.9452988,5609.549046,1,1
1653308821,-29,6266,1898,4913,91.36957308,84.52846864,897.0271319,5615.810737,1,1
1653308822,-29,6266,1898,4913,92.10457919,83.30537965,886.1673466,5623.435693,1,1
1653308823,-29,6266,1898,4913,90.79904655,84.27396831,898.5897663,5614.713568,1,1
1653308826,-29,6266,1898,4913,87.7961921,93.90236033,966.8794164,5566.765516,1,1
1653308827,116,5207,1898,4913,87.2137742,89.91399629,1020.582838,5057.75906,1,1
1653308828,-98,5542,1626,5117,89.14537494,90.75132935,771.6951532,5327.602993,1,1
1653308829,-98,5542,1626,5117,88.4358305,92.25026064,782.1975201,5325.013952,1,1
1653308830,-98,5542,1626,5117,90.94188143,89.98009915,759.4176031,5330.629651,1,1
1653308831,-98,5542,1626,5117,89.90879028,88.67922579,758.0651976,5330.963046,1,1
1653308832,-98,5542,1806,4867,87.58767848,91.85336841,876.6310361,5196.476917,1,1
1653308832,-98,5542,1576,4556,87.7638572,83.61620262,718.7433442,5060.93134,1,1
1653308833,-98,5542,1933,4689,88.29003742,92.06208816,938.7391039,5106.579786,1,1
1653308835,111,6004,1092,5658,88.64510696,86.22933824,594.724084,5833.389875,1,1
1653308835,111,6004,265,5693,87.94588698,86.72951769,187.463803,5849.582839,1,1
1653308836,111,6004,547,5215,91.18245862,90.79144522,328.5315761,5610.347675,1,1
1653308837,697,5595,430,6188,85.73554306,89.69868112,560.4841749,5898.198068,1,1
1653308839,697,5595,185,5606,86.50633768,90.85954451,434.7168246,5600.63499,1,1
1653308840,697,5595,-592,6027,89.09632462,85.34049233,66.37685208,5806.349263,1,1
1653308840,377,5661,-525,6710,85.12507203,81.85417487,-65.16552119,6175.225756,1,1
1653308841,377,5661,-278,7008,86.4948947,79.04724093,64.23405305,6304.199589,1,1
1653308842,888,5325,-528,6566,90.88203992,88.32685373,190.0947659,5936.652822,1,1
1653308843,1032,5652,-1163,6742,86.69621534,90.03931608,-86.26013261,6207.309132,1,1
1653308844,1032,5652,-957,6271,83.99744868,91.72172456,-6.216301586,5975.105023,1,1
1653308845,1032,5652,-66,6743,85.71803046,83.84554984,489.0625746,6191.476076,1,1
1653308846,579,5472,-359,7113,89.96283567,89.38718412,111.5053279,6289.866479,1,1
1653308849,79,4886,-1846,7429,90.95823818,85.3004163,-852.6041919,6116.685434,1,1
1653308850,79,4886,-1279,7578,89.75501063,88.18737575,-594.0181533,6220.142024,1,1
1653308852,-275,4454,-1557,6689,95.48086804,77.10393928,-847.7459542,5452.507962,1,1
1653308853,-765,3971,-1874,4118,96.81665059,92.54121974,-1306.98018,4042.840475,1,1
1653308854,-509,1950,-1114,2827,86.20425386,79.02223603,-798.3510165,2369.439407,1,1
1653308855,-88,695,-1941,2292,87.0440414,94.45988917,-1052.354734,1526.124938,1,1
1653308856,299,340,-1851,1003,92.61047167,77.48571366,-680.412231,642.0233996,1,1
1653308857,705,299,-952,-315,94.53025828,69.00726418,5.802439506,39.91291361,1,1
1653308862,4736,2856,794,578,68.09546946,58.30334213,2917.693548,1805.238433,1,1
1653308863,4585,2104,1329,1923,83.66119986,91.78789702,2881.592014,2009.308094,1,1
1653308864,4585,2104,4813,2420,92.77557823,86.27802674,4694.863133,2256.266448,1,1
1653308865,3665,2385,5492,2561,89.27310121,82.99134122,4545.188496,2469.79101,1,1
1653308866,2917,2151,4639,3636,93.20753302,58.52918547,3581.224575,2723.806907,1,1
1653308867,3006,1471,2164,1516,94.88892173,71.81292046,2643.27768,1490.385397,1,1
1653308868,3977,-137,2526,963,72.66981092,80.95779175,3212.360353,442.6716826,1,1
1653308869,4547,669,2967,239,79.18019146,92.82959159,3694.311553,436.9392202,1,1
1653308870,4547,669,2179,43,93.16904526,90.38516939,3380.957142,360.747116,1,1
1653308871,5027,465,4509,257,96.08925301,85.77412082,4782.690254,366.8987894,1,1
1653308872,5027,465,6548,-654,93.91052958,57.49473192,5604.585524,40.07021631,1,1
1653308873,5027,465,4756,359,88.53071403,85.02032029,4894.240741,413.072024,1,1
1653308874,6757,-41,5214,92,93.53680865,96.7424086,5972.502677,26.62031361,1,1
1653308875,5851,247,5488,-561,92.17677788,90.74599189,5670.919657,-153.8399913,1,1
1653308876,6356,289,4568,-1608,81.29077091,75.59250254,5494.471606,-625.0488605,1,1
1653308877,5638,379,4970,-1500,92.742202,87.81121742,5313.121671,-534.8418871,1,1
1653308878,5459,648,5497,-1083,89.50645436,94.96271849,5478.561986,-243.0999229,1,1
1653308879,5496,82,4924,-1812,93.80389014,93.05657227,5211.14381,-861.2126283,1,1
1653308880,5496,82,6322,-787,95.66343151,66.31349174,5834.165111,-273.7693477,1,1
1653308881,5964,275,7757,-925,97.45619306,83.0838975,6789.132123,-277.2356652,1,1
1653308892,5640,959,7598,904,93.68503966,80.77044091,6546.526541,933.5357713,1,1
1653308893,5640,959,7598,904,90.86203238,88.18249617,6604.348528,931.9115582,1,1
1653308894,5640,959,7247,1058,91.91754179,89.87743015,6434.483086,1007.944509,1,1
1653308895,5640,959,7247,1058,93.93391625,89.28032979,6423.091343,1007.242715,1,1
1653308896,5640,959,7247,1058,90.6905841,91.07498803,6445.199269,1008.604684,1,1
1653308897,5640,959,7247,1058,89.32637352,88.50411933,6439.78477,1008.271121,1,1
1653308898,5640,959,7247,1058,92.33463499,89.57591343,6431.31471,1007.749319,1,1
1653308899,5640,959,7247,1058,92.51214356,88.51676662,6425.766449,1007.407516,1,1
1653308900,5640,959,7247,1058,91.06129028,89.08900639,6434.703289,1007.958074,1,1
1653308901,5640,959,7567,1052,92.07192299,88.06508697,6582.06861,1004.465688,1,1
1653308902,5640,959,7567,1052,90.40629184,89.81554491,6600.341755,1005.347578,1,1
1653308903,5640,959,7157,1038,90.52226157,92.65166723,6407.317599,998.9591894,1,1
1653308904,5640,959,7157,1038,90.76438473,89.04652309,6391.253509,998.1226284,1,1
1653308905,5640,959,7157,1038,92.89291066,89.22902261,6383.240668,997.7053479,1,1
1653308906,5640,959,6647,899,95.2803567,84.69912586,6113.898572,930.7637395,1,1
1653308907,5524,1315,6310,791,95.29109762,94.83196734,5916.05094,1053.632707,1,1
1653308908,5524,1315,6044,1205,90.79864912,71.75980768,5753.548808,1266.441598,1,1
1653308909,5538,1663,5837,1572,94.40624138,90.36007955,5684.226128,1618.496396,1,1
1653308910,5746,2969,5329,1374,82.1281272,74.47346886,5547.691443,2210.481659,1,1
1653308912,5833,2144,6176,1028,94.39481121,67.98752897,5976.609967,1676.744249,1,1
1653308913,5420,1618,6723,908,89.55151362,85.55131908,6056.616593,1271.109915,1,1
1653308914,5420,1618,7460,1061,89.76077009,83.35788933,6402.274787,1349.800463,1,1
